Extinction Chess AlphaZero — Terminal Drilling History
======================================================

Supplementary log for terminal position drilling (extra training epochs
on the last position of each decisive game). Started at iter 291 (Phase 9).

Config: 10 extra epochs on pre-terminal positions per iteration.

Iter | Positions | Loss   | P-Loss | V-Loss | Time
-----|-----------|--------|--------|--------|-----
 291 |       400 | 0.4800 | 0.4399 | 0.0401 | 1.9s
 292 |       400 | 0.2897 | 0.2563 | 0.0335 | 1.9s
 293 |       398 | 0.2971 | 0.2654 | 0.0317 | 1.9s
 294 |       399 | 0.2567 | 0.2314 | 0.0253 | 1.9s
 295 |       399 | 0.2047 | 0.1852 | 0.0195 | 1.9s
 296 |       399 | 0.2052 | 0.1844 | 0.0208 | 1.9s
 297 |       399 | 0.1910 | 0.1649 | 0.0261 | 1.9s
 298 |       398 | 0.1531 | 0.1381 | 0.0150 | 1.9s
 299 |       398 | 0.1354 | 0.1179 | 0.0175 | 1.9s
 300 |       400 | 0.1041 | 0.0918 | 0.0122 | 1.9s
 301 |       398 | 0.0981 | 0.0834 | 0.0146 | 1.9s
 302 |       399 | 0.1194 | 0.1117 | 0.0076 | 1.9s
 303 |       398 | 0.1531 | 0.1396 | 0.0135 | 1.9s
 304 |       398 | 0.1178 | 0.1123 | 0.0055 | 1.9s
 305 |       397 | 0.1582 | 0.1505 | 0.0077 | 1.9s
 306 |       398 | 0.1551 | 0.1530 | 0.0021 | 1.9s
 307 |       398 | 0.0853 | 0.0824 | 0.0029 | 1.9s
 308 |       397 | 0.0742 | 0.0700 | 0.0042 | 1.9s
 309 |       399 | 0.0770 | 0.0746 | 0.0024 | 1.9s
 310 |       399 | 0.0768 | 0.0738 | 0.0030 | 1.9s
 311 |       396 | 0.0615 | 0.0590 | 0.0025 | 1.9s
 312 |       399 | 0.1077 | 0.0913 | 0.0164 | 1.9s
 313 |       399 | 0.0995 | 0.0940 | 0.0055 | 1.9s
 314 |       398 | 0.0940 | 0.0921 | 0.0019 | 1.9s
 315 |       399 | 0.1054 | 0.0896 | 0.0158 | 1.9s
 316 |       400 | 0.0684 | 0.0649 | 0.0034 | 1.9s
 317 |       399 | 0.0596 | 0.0585 | 0.0011 | 1.9s
 318 |       400 | 0.0521 | 0.0508 | 0.0013 | 1.9s
 319 |       400 | 0.0589 | 0.0573 | 0.0016 | 1.9s
 320 |       400 | 0.1017 | 0.0928 | 0.0090 | 1.9s
 321 |       399 | 0.0615 | 0.0587 | 0.0028 | 1.9s
 322 |       400 | 0.0508 | 0.0496 | 0.0013 | 1.9s
 323 |       400 | 0.0497 | 0.0489 | 0.0007 | 1.9s
 324 |       400 | 0.0434 | 0.0423 | 0.0011 | 1.9s
 325 |       399 | 0.0569 | 0.0557 | 0.0012 | 1.9s
 326 |       399 | 0.0816 | 0.0664 | 0.0152 | 1.9s
 327 |       598 | 0.7412 | 0.6373 | 0.1040 | 2.9s  ← Phase 11: +200 hard-capture, multi-winner targets
 328 |       599 | 0.5521 | 0.5091 | 0.0430 | 2.9s
 329 |       597 | 0.5766 | 0.5128 | 0.0638 | 2.9s
 330 |       600 | 0.5735 | 0.5208 | 0.0527 | 2.9s
 331 |       599 | 0.5371 | 0.5015 | 0.0356 | 2.9s
 332 |       600 | 0.4778 | 0.4467 | 0.0310 | 2.9s
 333 |       599 | 0.4693 | 0.4331 | 0.0362 | 2.9s
 334 |       600 | 0.5533 | 0.4995 | 0.0538 | 2.9s
 335 |       597 | 0.4589 | 0.4191 | 0.0398 | 2.9s
 336 |       599 | 0.5309 | 0.5049 | 0.0260 | 2.9s
 337 |       598 | 0.4474 | 0.4220 | 0.0254 | 2.9s
 338 |       599 | 0.5744 | 0.5102 | 0.0643 | 2.9s
 339 |       599 | 0.5273 | 0.4657 | 0.0616 | 2.9s
 340 |       597 | 0.4547 | 0.4170 | 0.0377 | 2.9s
 341 |       599 | 0.4601 | 0.4307 | 0.0294 | 2.9s
 342 |       599 | 0.4613 | 0.4249 | 0.0364 | 2.9s
 343 |       597 | 0.4575 | 0.4315 | 0.0260 | 2.9s
 344 |       599 | 0.4885 | 0.4448 | 0.0437 | 2.9s
 345 |       598 | 0.4320 | 0.4065 | 0.0254 | 2.9s
 346 |       599 | 0.4430 | 0.4216 | 0.0214 | 2.9s
 347 |       599 | 0.4571 | 0.4387 | 0.0184 | 2.9s
 348 |       696 | 0.7758 | 0.6851 | 0.0907 | 1.6s  ← Phase 12: 5 epochs, 0.5x LR, +300 hard-captures
 349 |       700 | 0.7378 | 0.6474 | 0.0904 | 1.7s
 350 |       700 | 0.6759 | 0.6339 | 0.0420 | 1.7s
 351 |       700 | 0.6096 | 0.5622 | 0.0474 | 1.7s
 352 |       699 | 0.6049 | 0.5313 | 0.0737 | 1.7s
 353 |       700 | 0.7423 | 0.6222 | 0.1200 | 1.7s
 354 |       700 | 0.6988 | 0.6294 | 0.0694 | 1.7s
 355 |       700 | 0.7102 | 0.6348 | 0.0754 | 1.7s
 356 |       700 | 0.6761 | 0.5990 | 0.0771 | 1.7s
 357 |       697 | 0.6844 | 0.6353 | 0.0491 | 1.7s
 358 |       700 | 0.6456 | 0.5851 | 0.0605 | 1.7s
 359 |       699 | 0.6746 | 0.6033 | 0.0713 | 1.7s
 360 |       699 | 0.6776 | 0.6091 | 0.0685 | 1.7s
 361 |       699 | 0.6199 | 0.5475 | 0.0724 | 1.7s
 362 |       699 | 0.6376 | 0.5729 | 0.0647 | 1.7s
 363 |       700 | 0.6259 | 0.5626 | 0.0633 | 1.7s
 364 |       700 | 0.6522 | 0.5883 | 0.0638 | 1.7s
 365 |       700 | 0.6808 | 0.6204 | 0.0604 | 1.6s
 366 |       700 | 0.7585 | 0.6123 | 0.1462 | 1.7s
 367 |       700 | 0.7098 | 0.6123 | 0.0975 | 1.7s
 368 |       699 | 0.6625 | 0.5958 | 0.0668 | 1.7s
 369 |       700 | 0.6922 | 0.6276 | 0.0645 | 1.7s
 370 |       698 | 0.6783 | 0.6023 | 0.0760 | 1.7s
 371 |       699 | 0.7274 | 0.6465 | 0.0808 | 1.7s
 372 |       700 | 0.7582 | 0.6817 | 0.0765 | 1.7s
 373 |       699 | 0.7897 | 0.6823 | 0.1075 | 1.7s
 374 |       700 | 0.6615 | 0.6077 | 0.0538 | 1.7s
 375 |       700 | 0.8807 | 0.6925 | 0.1882 | 1.7s
 376 |       700 | 0.8262 | 0.6946 | 0.1316 | 1.7s
 377 |       698 | 0.7153 | 0.6316 | 0.0837 | 1.7s
 378 |       700 | 0.6745 | 0.5979 | 0.0766 | 1.7s
 379 |       700 | 0.6905 | 0.6281 | 0.0624 | 1.7s
 380 |       700 | 0.6967 | 0.6153 | 0.0815 | 1.7s
 381 |       700 | 0.9147 | 0.7538 | 0.1609 | 1.7s
 382 |       700 | 0.6755 | 0.6110 | 0.0644 | 1.7s
 383 |       699 | 0.7356 | 0.6675 | 0.0681 | 1.7s
 384 |       700 | 0.6972 | 0.6367 | 0.0605 | 1.7s
 385 |       698 | 0.6315 | 0.5622 | 0.0693 | 1.7s
 386 |       700 | 0.6530 | 0.5893 | 0.0637 | 1.7s
 387 |       700 | 0.6128 | 0.5563 | 0.0565 | 1.7s
 388 |       700 | 0.7380 | 0.6404 | 0.0976 | 1.7s
 389 |       700 | 0.6752 | 0.6003 | 0.0750 | 1.6s
 390 |       699 | 0.6264 | 0.5677 | 0.0587 | 1.6s
 391 |       700 | 0.6564 | 0.5920 | 0.0643 | 1.7s
 392 |       700 | 0.7112 | 0.6076 | 0.1036 | 1.7s
 393 |       700 | 0.7670 | 0.6832 | 0.0838 | 1.7s
 394 |       699 | 0.6785 | 0.5980 | 0.0805 | 1.7s
